"Timestamp","EmployeeID","DisplayName","UserPrincipalName","Department","Country","Status","DepartmentGroup","CompanyGroup","AdministrativeUnit","AUAssigned","ManagerAssigned","Manager","License","LicenseAssigned","LicenseStatus","Reason","ObjectId","TemporaryPassword"
"7/20/2026 10:04:54 PM","MI-0019","William Smith","william.smith@daveshub.onmicrosoft.com","Engineering","Canada","Skipped","","","","False","False","","","False","","User already exists",,"P@ssword123!"
"7/20/2026 10:04:54 PM","MI-0018","Emma Wilson","emma.wilson@daveshub.onmicrosoft.com","Engineering","United Kingdom","Skipped","","","","False","False","","","False","","User already exists",,"P@ssword123!"
"7/20/2026 10:04:55 PM","MI-0017","James White","james.white@daveshub.onmicrosoft.com","Security Operations","Nigeria","Skipped","","","","False","False","","","False","","User already exists",,"P@ssword123!"
"7/20/2026 10:04:55 PM","MI-0016","Olivia Johnson","olivia.johnson@daveshub.onmicrosoft.com","Engineering","Canada","Skipped","","","","False","False","","","False","","User already exists",,"P@ssword123!"
"7/20/2026 10:04:56 PM","MI-0015","Amelia Hall","amelia.hall@daveshub.onmicrosoft.com","Engineering","United Kingdom","Skipped","","","","False","False","","","False","","User already exists",,"P@ssword123!"
"7/20/2026 10:04:56 PM","MI-0013","Charlotte Lee","charlotte.lee@daveshub.onmicrosoft.com","Engineering","United Kingdom","Skipped","","","","False","False","","","False","","User already exists",,"P@ssword123!"
"7/20/2026 10:04:57 PM","MI-0014","Henry Walker","henry.walker@daveshub.onmicrosoft.com","Engineering","Canada","Skipped","","","","False","False","","","False","","User already exists",,"P@ssword123!"
"7/20/2026 10:04:58 PM","MI-0012","Liam Anderson","liam.anderson@daveshub.onmicrosoft.com","Engineering","United Kingdom","Skipped","","","","False","False","","","False","","User already exists",,"P@ssword123!"
"7/20/2026 10:04:58 PM","MI-0011","Isabella Martinez","isabella.martinez@daveshub.onmicrosoft.com","Engineering","Canada","Skipped","","","","False","False","","","False","","User already exists",,"P@ssword123!"
"7/20/2026 10:04:59 PM","MI-0001","Sarah Johnson","sarah.johnson@daveshub.onmicrosoft.com","HR","Nigeria","Skipped","","","","False","False","","","False","","User already exists",,"P@ssword123!"
"7/20/2026 10:04:59 PM","MI-0002","David Wilson","david.wilson@daveshub.onmicrosoft.com","Engineering","Nigeria","Skipped","","","","False","False","","","False","","User already exists",,"P@ssword123!"
